tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
72,AZO.US Equity,AutoZone Inc,1996-12-31,null,255040,Specialty Retail
73,BA.US Equity,The Boeing Company,1970-01-01,null,201010,Aerospace & Defense
74,BAC.US Equity,Bank of America Corp.,1976-07-01,null,401010,Commercial Banks
75,BAX.US Equity,Baxter International Inc.,1972-09-14,null,351010,Health Care Equipment & Supplies
76,BBBY.US Equity,Bed Bath & Beyond Inc,1999-09-30,2017-07-24,255040,Specialty Retail
77,BBY.US Equity,Best Buy Co. Inc.,1999-06-29,null,255040,Specialty Retail
78,BC.US Equity,Brunswick Corp.,1973-03-01,2008-06-19,252020,Leisure Equipment & Products
79,BCR.US Equity,C. R. Bard Inc,1975-06-12,2017-12-27,351010,Health Care Equipment & Supplies
80,BDK.US Equity,Black & Decker Manufacturing,1976-01-15,2010-03-11,252010,Household Durables
81,BDX.US Equity,Becton Dickinson & Co,1972-09-14,null,351010,Health Care Equipment & Supplies
82,BEN.US Equity,Franklin Resources Inc,1998-04-28,null,402030,Capital Markets
83,BF-B.US Equity,Brown-Forman Corp.,1982-10-14,null,302010,Beverages
84,BIG.US Equity,Big Lots Inc.,1998-01-16,2013-02-12,255030,Multiline Retail
85,BIIB.US Equity,Biogen Idec Inc,2003-11-12,null,352010,Biotechnology
86,BJS.US Equity,BJ Services Co.,2002-05-14,2010-04-28,101010,Energy Equipment & Services
87,BK.US Equity,Bank of New York Mellon Corp,1995-03-30,null,402030,Capital Markets
88,BKNG.US Equity,Booking Holdings Inc,2009-11-03,null,255020,Internet & Catalog Retail
89,BKR.US Equity,Baker Hughes Co,1987-04-09,null,101010,Energy Equipment & Services
90,BLK.US Equity,BlackRock Inc,2011-04-01,null,402030,Capital Markets
91,BLL.US Equity,Ball Corp,1984-10-04,null,151030,Containers & Packaging
93,BMET.US Equity,Biomet Inc.,1990-08-22,2007-07-10,351010,Health Care Equipment & Supplies
94,BMS.US Equity,Bemis Company Inc,1978-07-20,2014-12-03,151030,Containers & Packaging
95,BMY.US Equity,Bristol-Myers Squibb Company,1970-01-01,null,351020,Health Care Providers & Services
96,BNI.US Equity,Burlington Northern Santa Fe Corp,1970-03-05,2010-02-11,203040,Road & Rail
97,BOL.US Equity,Bausch & Lomb Inc.,1986-05-08,2007-10-25,351010,Health Care Equipment & Supplies
98,BRCM.US Equity,Broadcom Corp.,2000-06-30,2016-01-28,453010,Semiconductors & Semiconductor Equipment
99,BRK-B.US Equity,Berkshire Hathaway Inc,2010-02-12,null,402010,Diversified Financial Services
100,BRL.US Equity,Barr Pharmaceuticals Inc.,2006-02-24,2008-12-21,352020,Pharmaceuticals
101,BSX.US Equity,Boston Scientific Corp,1995-02-23,null,351010,Health Care Equipment & Supplies
102,BWA.US Equity,BorgWarner Inc,2011-12-16,null,251010,Auto Components
103,BXLT.US Equity,Baxalta,2015-06-30,2016-06-01,352010,Biotechnology
104,BXP.US Equity,Boston Properties,2006-03-31,null,601010,Equity Real Estate Investment Trusts (REITs)
105,C.US Equity,Citigroup Inc.,1988-05-26,null,401010,Commercial Banks
106,CA.US Equity,CA Inc,1987-07-09,2018-09-21,451030,Software
107,CAG.US Equity,ConAgra Brands Inc,1983-09-01,null,302020,Food Products
108,CAH.US Equity,Cardinal Health Inc.,1997-05-23,null,351020,Health Care Providers & Services
109,CAM.US Equity,Cameron International Corp,2008-01-28,2016-03-31,101010,Energy Equipment & Services
110,CAT.US Equity,Caterpillar Inc,1970-01-01,null,201060,Machinery
111,CB.US Equity,Chubb Ltd,2002-01-29,2008-07-16,403010,Insurance
112,CB.US Equity,Chubb Ltd,2010-07-14,null,403010,Insurance
113,CBE.US Equity,Cooper Industries plc,1970-01-01,2009-09-07,201040,Electrical Equipment
114,CBE.US Equity,Cooper Industries plc,2011-11-22,2012-11-29,201040,Electrical Equipment
115,CBRE.US Equity,CBRE Group Inc,2006-11-09,null,601020,Real Estate Management & Development
116,CBSS.US Equity,Compass Bancshares Inc,2004-12-17,2007-09-06,401010,Commercial Banks
117,CCI.US Equity,Crown Castle Int'l Corp.,2012-03-13,null,601010,Equity Real Estate Investment Trusts (REITs)
118,CCL.US Equity,Carnival Corp.,1998-12-21,null,253010,"Hotels, Restaurants & Leisure"
119,CEG.US Equity,Constellation Energy Group Inc,1970-01-01,2012-03-12,551050,Independent Power Producers & Energy Traders
120,CELG.US Equity,Celgene Corp.,2006-11-03,2019-06-28,352010,Biotechnology
121,CEPH.US Equity,Cephalon Inc.,2008-11-14,2011-10-13,352010,Biotechnology
122,CERN.US Equity,Cerner Corp,2010-04-29,null,351030,Health Care Technology
123,CF.US Equity,CF Industries Holdings Inc.,2008-08-26,null,151010,Chemicals
124,CFC.US Equity,Countrywide Financial Corp.,1997-06-17,2008-06-29,401020,Thrifts & Mortgage Finance
125,CFG.US Equity,Citizens Financial Group Inc,2016-01-29,null,401010,Commercial Banks
126,CFN.US Equity,CareFusion Corp,2009-08-31,2015-03-16,351010,Health Care Equipment & Supplies
127,CHD.US Equity,Church & Dwight Co Inc,2015-12-28,null,303010,Household Products
128,CHK.US Equity,Chesapeake Energy Corp,2006-03-02,2018-03-17,101020,"Oil, Gas & Consumable Fuels"
129,CHRW.US Equity,C.H. Robinson Worldwide Inc,2007-03-01,null,203010,Air Freight & Logistics
130,CHTR.US Equity,Charter Communications Inc,2016-09-07,null,502010,Media
131,CI.US Equity,Cigna Corp.,1982-04-08,null,351020,Health Care Providers & Services
132,CIEN.US Equity,Ciena Corp.,2001-08-29,2009-12-17,452010,Communications Equipment
133,CINF.US Equity,Cincinnati Financial Corp,1997-12-17,null,403010,Insurance
134,CL.US Equity,Colgate-Palmolive Company,1970-01-01,null,303010,Household Products
135,CLF.US Equity,Cleveland-Cliffs Inc,2009-12-18,2014-03-31,151040,Metals & Mining
136,CLX.US Equity,The Clorox Company,1970-01-01,null,303010,Household Products
137,CMA.US Equity,Comerica Inc.,1995-11-30,null,401010,Commercial Banks
138,CMCSA.US Equity,Comcast Corp Class A,2002-11-18,null,502010,Media
139,CMCSK.US Equity,Comcast Class A Spec.,2015-09-18,2015-12-10,254010,Media
140,CME.US Equity,CME Group Inc.,2006-08-10,null,402030,Capital Markets
141,CMG.US Equity,Chipotle Mexican Grill Inc,2011-04-27,null,253010,"Hotels, Restaurants & Leisure"
142,CMI.US Equity,Cummins Inc,1970-01-01,null,201060,Machinery
143,CMS.US Equity,CMS Energy Corp,1999-04-30,null,551030,Multi-Utilities
144,CMVT.US Equity,Comverse Technology Inc,1999-10-26,2007-01-31,451030,Software
145,CMX.US Equity,Caremark Rx,2004-03-24,2007-03-21,351020,Health Care Providers & Services
146,CNC.US Equity,Centene Corp,2016-03-29,null,351020,Health Care Providers & Services
147,CNP.US Equity,CenterPoint Energy Inc,1985-07-25,null,551030,Multi-Utilities
148,CNX.US Equity,Consol Energy Inc.,2006-06-27,2016-03-02,101020,"Oil, Gas & Consumable Fuels"
149,COF.US Equity,Capital One Financial Corp,1998-06-30,null,402020,Consumer Finance
150,COG.US Equity,Cabot Oil & Gas Corp,2008-06-20,null,101020,"Oil, Gas & Consumable Fuels"
151,COL.US Equity,Rockwell Collins Inc,2001-06-29,2018-11-26,201010,Aerospace & Defense
152,COO.US Equity,The Cooper Companies Inc,2016-09-22,null,351010,Health Care Equipment & Supplies
153,COP.US Equity,ConocoPhillips,1970-01-01,null,101020,"Oil, Gas & Consumable Fuels"
154,COST.US Equity,Costco Wholesale Corp,1993-10-21,null,301010,Food & Staples Retailing
155,COTY.US Equity,Coty Inc,2016-09-30,null,303020,Personal Products
156,COV.US Equity,Covidien Plc,2007-06-29,2009-06-03,351010,Health Care Equipment & Supplies
157,COV.US Equity,Covidien Plc,2011-02-28,2015-01-25,351010,Health Care Equipment & Supplies
158,CPB.US Equity,Campbell Soup Company,1970-01-01,null,302020,Food Products
159,CPGX.US Equity,Columbia Pipeline Group Inc.,2015-07-01,2016-06-30,101020,"Oil, Gas & Consumable Fuels"
160,CPRI.US Equity,Capri Holdings Ltd,2013-11-12,2020-05-10,252030,"Textiles, Apparel & Luxury Goods"
161,CRM.US Equity,Salesforce.com Inc,2008-09-12,null,451030,Software
162,CSCO.US Equity,Cisco Systems Inc,1993-12-30,null,452010,Communications Equipment
163,CSRA.US Equity,CSRA Inc,2015-11-30,2018-04-02,451020,IT Services
164,CSX.US Equity,CSX Corp.,1980-11-06,null,203040,Road & Rail
165,CTAS.US Equity,Cintas Corp.,2001-02-28,null,202010,Commercial Services & Supplies
166,CTL.US Equity,CenturyLink Inc.,1999-03-24,null,501010,Diversified Telecommunication Services
167,CTSH.US Equity,Cognizant Technology Solutions Corp,2006-11-16,null,451020,IT Services
168,CTX.US Equity,Centex Corp.,1977-03-31,2009-08-17,252010,Household Durables
169,CTXS.US Equity,Citrix Systems Inc,1999-11-30,null,451030,Software
170,CVG.US Equity,Convergys Corp.,2000-06-12,2009-12-17,451020,IT Services
171,CVH.US Equity,Coventry Corp,2005-08-29,2013-05-03,351020,Health Care Providers & Services
172,CVS.US Equity,CVS Health Corporation,1970-01-01,null,351020,Health Care Providers & Services
173,CVX.US Equity,Chevron Corporation,1970-01-01,null,101020,"Oil, Gas & Consumable Fuels"
174,CXO.US Equity,Concho Resources Inc,2016-02-19,null,101020,"Oil, Gas & Consumable Fuels"
175,D.US Equity,Dominion Resources Inc,1983-05-20,null,551010,Electric Utilities
