tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
309,HSY.US Equity,The Hershey Company,1970-01-01,null,302020,Food Products
310,HUM.US Equity,Humana Inc.,1995-11-30,null,351020,Health Care Providers & Services
311,HWM.US Equity,Howmet Aerospace Inc,2016-11-01,null,201010,Aerospace & Defense
312,IBM.US Equity,International Business Machines Corporation,1970-01-01,null,451020,IT Services
313,ICE.US Equity,Intercontinental Exchange Inc,2007-09-25,null,402030,Capital Markets
314,IFF.US Equity,International Flavors & Fragrances Inc,1976-03-04,null,151010,Chemicals
315,IGT.US Equity,International Game Technology PLC,2001-08-31,2014-06-20,253010,"Hotels, Restaurants & Leisure"
316,ILMN.US Equity,Illumina Inc,2015-11-18,null,352030,Life Sciences Tools & Services
317,INTC.US Equity,Intel Corp.,1976-12-09,null,453010,Semiconductors & Semiconductor Equipment
318,INTU.US Equity,Intuit Inc.,2000-12-08,null,451030,Software
319,IP.US Equity,International Paper Company,1970-01-01,null,151030,Containers & Packaging
320,IPG.US Equity,Interpublic Group of Companies Inc,1992-10-29,null,502010,Media
321,IRM.US Equity,Iron Mountain Inc.,2009-01-05,null,601010,Equity Real Estate Investment Trusts (REITs)
322,ISRG.US Equity,Intuitive Surgical Inc.,2008-06-02,null,351010,Health Care Equipment & Supplies
323,ITT.US Equity,ITT Inc,1970-01-01,2011-10-30,201060,Machinery
324,ITW.US Equity,Illinois Tool Works Inc,1986-02-13,null,201060,Machinery
325,IVZ.US Equity,Invesco Ltd,2008-08-20,null,402030,Capital Markets
326,J.US Equity,Jacobs Engineering Group,2007-10-25,null,201030,Construction & Engineering
327,JAVA.US Equity,Sun Microsystems,1992-08-19,2010-01-26,452020,Computers & Peripherals
328,JBHT.US Equity,J. B. Hunt Transport Services Inc.,2015-06-30,null,203040,Road & Rail
329,JBL.US Equity,Jabil Circuit Inc,2001-01-29,2014-11-03,452030,"Electronic Equipment, Instruments & Components"
330,JCI.US Equity,Johnson Controls International plc,1989-07-27,2009-03-15,201020,Building Products
331,JCI.US Equity,Johnson Controls International plc,2010-08-26,null,201020,Building Products
332,JCP.US Equity,J.C. Penney Co Inc,1970-01-01,2013-11-28,255030,Multiline Retail
333,JEF.US Equity,Jefferies Financial Group Inc,2007-08-24,2019-09-24,402010,Diversified Financial Services
334,JNJ.US Equity,Johnson & Johnson,1973-05-31,null,351010,Health Care Equipment & Supplies
335,JNPR.US Equity,Juniper Networks Inc,2006-06-01,null,452010,Communications Equipment
336,JNS.US Equity,Janus Capital Group,2000-07-12,2011-11-21,402030,Capital Markets
337,JNY.US Equity,Jones Group,2001-12-14,2009-03-02,252030,"Textiles, Apparel & Luxury Goods"
338,JOY.US Equity,Joy Global Inc.,2011-02-25,2015-10-06,201060,Machinery
339,JPM.US Equity,JPMorgan Chase & Co.,1976-07-01,null,401010,Commercial Banks
340,JWN.US Equity,Nordstrom Inc,1986-08-07,2020-06-18,255030,Multiline Retail
341,K.US Equity,Kellogg Company,1970-01-01,null,302020,Food Products
342,KATE.US Equity,Kate Spade & Co,1984-10-25,2008-11-30,252030,"Textiles, Apparel & Luxury Goods"
343,KBH.US Equity,KB Home,1989-03-08,2009-12-17,252010,Household Durables
344,KEY.US Equity,KeyCorp,1994-03-01,null,401010,Commercial Banks
345,KG.US Equity,King Pharmaceuticals Inc.,2000-10-02,2010-12-16,352020,Pharmaceuticals
346,KHC.US Equity,Kraft Heinz Co,2012-10-01,null,302020,Food Products
347,KIM.US Equity,Kimco Realty,2006-03-31,null,601010,Equity Real Estate Investment Trusts (REITs)
348,KLAC.US Equity,KLA-Tencor Corp.,1997-09-12,null,453010,Semiconductors & Semiconductor Equipment
349,KMB.US Equity,Kimberly-Clark Corporation,1970-01-01,null,303010,Household Products
350,KMI.US Equity,Kinder Morgan Inc,2012-05-24,null,101020,"Oil, Gas & Consumable Fuels"
351,KMX.US Equity,Carmax Inc.,2010-06-28,null,255040,Specialty Retail
352,KO.US Equity,The Coca-Cola Company,1970-01-01,null,302010,Beverages
353,KR.US Equity,The Kroger Co,1970-01-01,null,301010,Food & Staples Retailing
354,KRFT.US Equity,Kraft Foods Group Inc,2012-10-10,2015-07-02,302020,Food Products
355,KSE.US Equity,KeySpan Corp,2000-08-18,2007-08-23,551030,Multi-Utilities
356,KSS.US Equity,Kohl's Corp.,1998-08-13,null,255030,Multiline Retail
357,KSU.US Equity,Kansas City Southern,2013-05-23,null,203040,Road & Rail
358,L.US Equity,Loews Corp.,1995-05-09,null,403010,Insurance
359,LB.US Equity,L Brands Inc.,1983-09-15,null,255040,Specialty Retail
360,LDOS.US Equity,Leidos Holdings Inc,2009-12-18,2013-09-19,451020,IT Services
361,LEG.US Equity,Leggett & Platt Inc,1999-10-15,null,252010,Household Durables
362,LEH.US Equity,Lehman Brothers Holdings Inc,1970-01-01,2008-09-16,402010,Diversified Financial Services
363,LEN.US Equity,Lennar Corp.,2005-10-03,null,252010,Household Durables
364,LH.US Equity,Laboratory Corp of America Holdings,2004-10-29,null,351020,Health Care Providers & Services
365,LHX.US Equity,L3Harris Technologies Inc,2008-09-19,null,201010,Aerospace & Defense
366,LIN.US Equity,Linde plc,1992-07-02,null,151010,Chemicals
367,LKQ.US Equity,LKQ Corp,2016-05-20,null,255010,Distributors
368,LLL.US Equity,L3 Technologies Inc,2004-11-30,2019-06-27,201010,Aerospace & Defense
369,LLTC.US Equity,Linear Technology Corp.,2000-03-31,2017-03-10,453010,Semiconductors & Semiconductor Equipment
370,LLY.US Equity,Eli Lilly and Co.,1970-11-19,null,352020,Pharmaceuticals
371,LM.US Equity,Legg Mason Inc,2006-04-21,2016-11-30,402030,Capital Markets
372,LMT.US Equity,Lockheed Martin Corp.,1984-07-19,null,201010,Aerospace & Defense
373,LNC.US Equity,Lincoln National Corp,1976-07-01,null,403010,Insurance
374,LNT.US Equity,Alliant Energy Corp,2016-06-30,null,551010,Electric Utilities
375,LO.US Equity,Lorillard Inc.,2008-06-10,2015-06-10,302030,Tobacco
376,LOW.US Equity,Lowe's Companies Inc,1984-03-01,null,255040,Specialty Retail
377,LRCX.US Equity,Lam Research Corp,2012-06-05,null,453010,Semiconductors & Semiconductor Equipment
378,LSI.US Equity,"Life Storage, Inc",1995-12-13,2014-05-08,404010,Real Estate -- Discontinued effective 04/28/2006
379,LUV.US Equity,Southwest Airlines Co,1994-07-12,null,203020,Airlines
380,LVLT.US Equity,Level 3 Comm's Inc,2014-11-04,2017-10-11,501010,Diversified Telecommunication Services
381,LXK.US Equity,Lexmark International Inc,1999-08-12,2012-09-27,452020,Computers & Peripherals
382,LYB.US Equity,LyondellBasell Industries NV,2012-09-04,null,151010,Chemicals
383,M.US Equity,Macy's Inc.,1995-11-07,2020-04-04,255030,Multiline Retail
384,MA.US Equity,Mastercard Inc.,2008-07-17,null,451020,IT Services
385,MAA.US Equity,Mid-America Apartment Communities,2016-12-01,null,601010,Equity Real Estate Investment Trusts (REITs)
386,MAC.US Equity,The Macerich Co,2013-05-08,2019-12-19,601010,Equity Real Estate Investment Trusts (REITs)
387,MAR.US Equity,Marriott International Inc,1993-10-11,null,253010,"Hotels, Restaurants & Leisure"
388,MAS.US Equity,Masco Corp.,1981-06-18,null,201020,Building Products
389,MAT.US Equity,Mattel Inc.,1982-03-11,2019-06-05,252020,Leisure Equipment & Products
390,MBI.US Equity,MBIA Inc,1996-12-02,2009-12-17,403010,Insurance
391,MCD.US Equity,McDonald's Corp.,1970-06-25,null,253010,"Hotels, Restaurants & Leisure"
392,MCHP.US Equity,Microchip Technology Inc,2007-09-07,null,453010,Semiconductors & Semiconductor Equipment
393,MCK.US Equity,McKesson Corp.,1999-01-12,null,351020,Health Care Providers & Services
394,MCO.US Equity,Moody's Corp,2000-10-02,null,402030,Capital Markets
395,MDLZ.US Equity,Mondelez International Inc,2007-03-30,null,302020,Food Products
396,MDP.US Equity,Meredith Corp.,1970-01-01,2011-01-02,254010,Media
397,MDT.US Equity,Medtronic PLC,1986-10-23,null,351010,Health Care Equipment & Supplies
398,MEDI.US Equity,MedImmune Inc.,2000-06-15,2007-05-30,352010,Biotechnology
399,MEE.US Equity,Massey Energy Co.,2008-06-20,2011-05-31,101020,"Oil, Gas & Consumable Fuels"
400,MEL.US Equity,Mellon Financial Corp,1976-07-01,2007-06-28,402030,Capital Markets
401,MER.US Equity,Merrill Lynch & Co,1982-04-08,2008-12-30,402030,Capital Markets
402,MET.US Equity,MetLife Inc.,2000-12-08,null,403010,Insurance
403,MFE.US Equity,McAfee Inc.,2008-12-22,2011-02-27,451030,Software
404,MHK.US Equity,Mohawk Industries Inc,2013-12-20,null,252010,Household Durables
405,MHS.US Equity,Medco Health Solution Inc,2003-08-19,2012-03-30,351020,Health Care Providers & Services
406,MI.US Equity,Marshall & Ilsley Corp,2002-02-08,2011-07-04,401010,Commercial Banks
407,MJN.US Equity,Mead Johnson Nutrition Co,2009-12-18,2017-06-14,302020,Food Products
408,MKC.US Equity,McCormick & Company Inc,2003-03-20,null,302020,Food Products
409,MLM.US Equity,Martin Marietta Materials Inc,2014-07-01,null,151020,Construction Materials
410,MMC.US Equity,Marsh & McLennan Companies Inc,1987-08-06,null,403010,Insurance
411,MMM.US Equity,3M Company,1970-01-01,null,201050,Industrial Conglomerates
412,MNK.US Equity,Mallinckrodt plc,2014-08-18,2017-07-24,352020,Pharmaceuticals
413,MNST.US Equity,Monster Beverage Corp,2012-06-28,null,302010,Beverages
414,MOLX.US Equity,Molex Inc.,1999-11-30,2013-12-06,452030,"Electronic Equipment, Instruments & Components"
415,MON.US Equity,Monsanto Co.,2002-08-13,2018-06-05,151010,Chemicals
416,MOS.US Equity,Mosaic Co,2011-09-23,null,151010,Chemicals
417,MPC.US Equity,Marathon Petroleum Corp,2011-06-30,null,101020,"Oil, Gas & Consumable Fuels"
418,MRK.US Equity,"Merck & Co., Inc",1970-01-01,null,352020,Pharmaceuticals
419,MRO.US Equity,Marathon Oil Corp.,1991-05-06,null,101020,"Oil, Gas & Consumable Fuels"
420,MS.US Equity,Morgan Stanley,1995-09-21,null,402030,Capital Markets
421,MSFT.US Equity,Microsoft Corp.,1994-06-06,null,451030,Software
422,MSI.US Equity,"Motorola Solutions, Inc",1970-01-01,null,452010,Communications Equipment
423,MTB.US Equity,M&T Bank Corp.,2004-02-26,null,401010,Commercial Banks
424,MTD.US Equity,Mettler-Toledo Int'l Inc,2016-09-02,null,352030,Life Sciences Tools & Services
425,MTG.US Equity,MGIC Investment Corp,1996-07-18,2008-10-29,401020,Thrifts & Mortgage Finance
426,MTW.US Equity,Manitowoc Inc,2007-11-15,2009-08-30,201060,Machinery
427,MU.US Equity,Micron Technology Inc,1994-09-26,null,453010,Semiconductors & Semiconductor Equipment
428,MUR.US Equity,Murphy Oil Corp,2005-08-12,2017-07-24,101020,"Oil, Gas & Consumable Fuels"
429,MWW.US Equity,Monster Worldwide Inc.,2001-06-01,2011-12-15,451010,Internet Software & Services
430,MXIM.US Equity,Maxim Integrated Products Inc,2000-05-09,2007-09-25,453010,Semiconductors & Semiconductor Equipment
431,MYL.US Equity,Mylan NV,2004-04-22,null,352020,Pharmaceuticals
432,NAVI.US Equity,Navient Corp,2014-05-01,2018-06-03,402020,Consumer Finance
433,NBL.US Equity,Noble Energy Inc.,2007-10-05,null,101020,"Oil, Gas & Consumable Fuels"
434,NBR.US Equity,Nabors Industries Ltd,2000-10-17,2015-03-19,101010,Energy Equipment & Services
435,NCC.US Equity,National City Corp.,1994-09-26,2008-12-30,401010,Commercial Banks
436,NCR.US Equity,NCR Corp.,2000-01-03,2007-09-27,452020,Computers & Peripherals
437,NDAQ.US Equity,Nasdaq Inc,2008-10-21,null,402030,Capital Markets
438,NE.US Equity,Noble Corp plc,2001-01-12,2009-03-25,101010,Energy Equipment & Services
439,NE.US Equity,Noble Corp plc,2011-01-14,2015-07-16,101010,Energy Equipment & Services
440,NEE.US Equity,NextEra Energy Inc,1976-07-01,null,551030,Multi-Utilities
441,NEM.US Equity,Newmont Corporation,1970-01-01,null,151040,Metals & Mining
442,NFLX.US Equity,Netflix Inc.,2010-12-17,null,502020,Entertainment
443,NFX.US Equity,Newfield Exploration Co.,2010-12-17,2019-02-13,101020,"Oil, Gas & Consumable Fuels"
444,NI.US Equity,NiSource Inc.,2000-11-01,null,551030,Multi-Utilities
445,NKE.US Equity,Nike Inc.,1988-11-03,null,252030,"Textiles, Apparel & Luxury Goods"
446,NLOK.US Equity,NortonLifeLock Inc,2003-03-28,null,451030,Software
447,NLSN.US Equity,Nielsen Holdings PLC,2013-07-08,null,202020,Professional Services
448,NOC.US Equity,Northrop Grumman Corp.,1985-06-13,null,201010,Aerospace & Defense
449,NOV.US Equity,National Oilwell Varco Inc.,2005-03-11,null,101010,Energy Equipment & Services
450,NOVL.US Equity,Novell Inc,1991-10-31,2011-04-26,451030,Software
451,NRG.US Equity,NRG Energy Inc,2010-01-27,null,551050,Independent Power Producers & Energy Traders
452,NSC.US Equity,Norfolk Southern Corp.,1982-06-03,null,203040,Road & Rail
453,NTAP.US Equity,NetApp Inc,1999-06-24,null,452020,Computers & Peripherals
454,NTRS.US Equity,Northern Trust Corp.,1998-01-29,null,402030,Capital Markets
455,NUE.US Equity,Nucor Corp.,1985-04-18,null,151040,Metals & Mining
456,NVDA.US Equity,Nvidia Corp.,2001-11-29,null,453010,Semiconductors & Semiconductor Equipment
457,NWL.US Equity,Newell Brands Inc,1989-04-27,null,252010,Household Durables
458,NWS.US Equity,News Corp Class B,2015-09-18,null,502010,Media
459,NWSA.US Equity,News Corp Class A,2013-06-28,null,502010,Media
460,NYT.US Equity,New York Times Co,1984-11-23,2010-12-16,254010,Media
461,NYX.US Equity,NYSE Euronext Inc,2007-10-24,2013-11-11,402010,Diversified Financial Services
462,O.US Equity,Realty Income Corp,2015-04-06,null,601010,Equity Real Estate Investment Trusts (REITs)
463,ODP.US Equity,Office Depot Inc.,1999-06-23,2010-12-16,255040,Specialty Retail
464,OI.US Equity,Owens-Illinois Inc.,2008-12-31,2016-11-30,151030,Containers & Packaging
465,OKE.US Equity,ONEOK Inc,2010-03-12,null,101020,"Oil, Gas & Consumable Fuels"
466,OMC.US Equity,Omnicom Group Inc,1997-12-23,null,502010,Media
467,OMX.US Equity,OfficeMax Inc (Old),1970-04-23,2008-06-19,255040,Specialty Retail
468,ORCL.US Equity,Oracle Corp.,1989-08-03,null,451030,Software
469,ORLY.US Equity,O'Reilly Automotive Inc,2009-03-26,null,255040,Specialty Retail
470,OXY.US Equity,Occidental Petroleum Corp,1982-12-09,null,101020,"Oil, Gas & Consumable Fuels"
471,PAYX.US Equity,Paychex Inc.,1998-09-30,null,451020,IT Services
472,PBCT.US Equity,People's United Financial Inc,2008-11-12,null,401020,Thrifts & Mortgage Finance
473,PBG.US Equity,Pepsi Bottling Group Inc.,2001-05-11,2010-02-25,302010,Beverages
474,PBI.US Equity,Pitney Bowes Inc,1970-01-01,2017-02-27,202010,Commercial Services & Supplies
475,PCAR.US Equity,PACCAR Inc.,1980-10-02,null,201060,Machinery
476,PCG.US Equity,PG&E Corp,1970-01-01,2019-01-16,551030,Multi-Utilities
477,PCL.US Equity,Plum Creek Timber Company,2002-01-16,2016-02-18,601010,Equity Real Estate Investment Trusts (REITs)
478,PCP.US Equity,Precision Castparts Corp,2007-05-31,2016-01-28,201010,Aerospace & Defense
479,PDCO.US Equity,Patterson Companies,2005-10-10,2018-03-17,351020,Health Care Providers & Services
480,PEAK.US Equity,Healthpeak Properties Inc,2008-03-28,null,601010,Equity Real Estate Investment Trusts (REITs)
481,PEG.US Equity,Public Service Enterprise Group Incorporated,1970-01-01,null,551010,Electric Utilities
482,PEP.US Equity,"PepsiCo, Inc",1970-01-01,null,302010,Beverages
483,PETM.US Equity,PetSmart Inc,2012-10-04,2015-03-10,255040,Specialty Retail
484,PFE.US Equity,Pfizer Inc,1970-01-01,null,352020,Pharmaceuticals
485,PFG.US Equity,Principal Financial Group Inc,2002-07-19,null,403010,Insurance
486,PG.US Equity,The Procter & Gamble Company,1970-01-01,null,303020,Personal Products
487,PGL.US Equity,Peoples Energy Corp,1970-01-01,2007-02-20,551020,Gas Utilities
488,PGR.US Equity,Progressive Corp.,1997-08-01,null,403010,Insurance
489,PH.US Equity,Parker-Hannifin Corp,1985-11-07,null,201060,Machinery
490,PHM.US Equity,PulteGroup Inc,1984-04-12,null,252010,Household Durables
491,PKI.US Equity,PerkinElmer Inc,1985-05-09,null,351010,Health Care Equipment & Supplies
492,PLD.US Equity,Prologis,2003-07-16,null,601010,Equity Real Estate Investment Trusts (REITs)
493,PM.US Equity,Philip Morris International Inc,2008-03-28,null,302030,Tobacco
494,PMCS.US Equity,PMC-Sierra Inc,2001-08-02,2007-06-28,453010,Semiconductors & Semiconductor Equipment
495,PNC.US Equity,PNC Financial Services Group Inc,1988-04-14,null,401010,Commercial Banks
496,PNR.US Equity,Pentair plc,2012-09-28,null,201060,Machinery
497,PNW.US Equity,Pinnacle West Capital Corp,1999-10-01,null,551030,Multi-Utilities
498,POM.US Equity,Pepco Holdings Inc.,2007-11-08,2016-03-23,551010,Electric Utilities
499,PPG.US Equity,"PPG Industries, Inc",1970-01-01,null,151010,Chemicals
500,PPL.US Equity,PPL Corp.,1995-11-24,null,551010,Electric Utilities
501,PRGO.US Equity,Perrigo Company Plc,2011-12-16,null,352020,Pharmaceuticals
502,PRU.US Equity,Prudential Financial Inc,2002-07-19,null,403010,Insurance
503,PSA.US Equity,Public Storage,2005-08-18,null,601010,Equity Real Estate Investment Trusts (REITs)
504,PSX.US Equity,Phillips 66,2012-04-30,null,101020,"Oil, Gas & Consumable Fuels"
505,PTV.US Equity,Pactiv Corp,1999-11-04,2010-11-15,151030,Containers & Packaging
506,PVH.US Equity,PVH Corp.,2013-02-13,null,252030,"Textiles, Apparel & Luxury Goods"
507,PWR.US Equity,Quanta Services Inc.,2009-06-30,null,201030,Construction & Engineering
508,PXD.US Equity,Pioneer Natural Resources Co,2008-09-23,null,101020,"Oil, Gas & Consumable Fuels"
509,PYPL.US Equity,PayPal Holdings Inc.,2015-07-17,null,451020,IT Services
510,QCOM.US Equity,Qualcomm Inc,1999-07-21,null,453010,Semiconductors & Semiconductor Equipment
511,QEP.US Equity,QEP Resources Inc,2010-06-30,2015-06-29,101020,"Oil, Gas & Consumable Fuels"
512,QLGC.US Equity,QLogic Corp.,2000-12-11,2011-01-13,452030,"Electronic Equipment, Instruments & Components"
513,QRVO.US Equity,Qorvo Inc,2015-06-11,null,453010,Semiconductors & Semiconductor Equipment
514,R.US Equity,Ryder System Inc,1982-12-30,2017-06-17,203040,Road & Rail
515,RAI.US Equity,Reynolds American Inc.,2002-09-03,2017-07-24,302030,Tobacco
516,RCL.US Equity,Royal Caribbean Cruises Ltd,2014-12-04,null,253010,"Hotels, Restaurants & Leisure"
517,RDC.US Equity,Rowan Companies plc,1985-01-10,2014-08-17,101010,Energy Equipment & Services
518,REGN.US Equity,Regeneron Pharmaceuticals Inc.,2013-04-30,null,352010,Biotechnology
519,RF.US Equity,Regions Financial Corp.,1998-08-27,null,401010,Commercial Banks
520,RHI.US Equity,Robert Half Int'l Inc,2000-12-04,null,202020,Professional Services
521,RHT.US Equity,Red Hat Inc.,2009-07-24,2019-07-08,451030,Software
522,RIG.US Equity,Transocean Ltd,1999-12-30,2008-12-17,101010,Energy Equipment & Services
523,RIG.US Equity,Transocean Ltd,2013-10-28,2017-07-24,101010,Energy Equipment & Services
524,RL.US Equity,Ralph Lauren Corp,2007-02-01,null,252030,"Textiles, Apparel & Luxury Goods"
525,ROH.US Equity,Rohm & Hass Co,1982-09-16,2009-03-31,151010,Chemicals
526,ROK.US Equity,"Rockwell Automation, Inc",1970-01-01,null,201040,Electrical Equipment
527,ROP.US Equity,Roper Technologies Inc,2009-12-22,null,201050,Industrial Conglomerates
528,ROST.US Equity,Ross Stores Inc,2009-12-18,null,255040,Specialty Retail
529,RRC.US Equity,Range Resources Corp.,2007-12-20,2018-06-14,101020,"Oil, Gas & Consumable Fuels"
530,RRD.US Equity,RR Donnelley & Sons Co,1984-07-19,2012-12-10,202010,Commercial Services & Supplies
531,RSG.US Equity,Republic Services Inc.,2008-12-04,null,202010,Commercial Services & Supplies
532,RTX.US Equity,Raytheon Co.,1970-01-01,null,201010,Aerospace & Defense
533,RX.US Equity,Ims Health Inc,1970-01-01,2010-02-25,351020,Health Care Providers & Services
534,S.US Equity,Sprint Corp,1989-07-27,2013-07-07,501020,Wireless Telecommunication Services
535,SANM.US Equity,Sanmina Corp.,2000-06-20,2007-06-28,452030,"Electronic Equipment, Instruments & Components"
536,SBL.US Equity,Symbol Technologies Inc,2000-12-08,2007-01-08,452030,"Electronic Equipment, Instruments & Components"
537,SBUX.US Equity,Starbucks Corp.,2000-06-07,null,253010,"Hotels, Restaurants & Leisure"
538,SCG.US Equity,SCANA Corp.,2008-12-31,2018-12-30,551030,Multi-Utilities
539,SCHW.US Equity,Charles Schwab Corp.,1997-05-30,null,402030,Capital Markets
540,SEE.US Equity,Sealed Air Corp.,1998-03-31,null,151030,Containers & Packaging
541,SEP.US Equity,Spectra Energy Corp.,2006-12-29,2017-02-26,101020,"Oil, Gas & Consumable Fuels"
542,SGP.US Equity,Schering-Plough Corp.,1970-01-01,2009-11-02,352020,Pharmaceuticals
543,SHLD.US Equity,Sears Holdings Corp,2005-03-24,2012-09-03,255030,Multiline Retail
544,SHW.US Equity,The Sherwin-Williams Company,1970-01-01,null,151010,Chemicals
545,SIAL.US Equity,Sigma-Aldrich Corp.,1994-09-20,2015-11-17,151010,Chemicals
546,SIG.US Equity,Signet Jewelers Ltd,2015-07-28,2018-03-17,255040,Specialty Retail
547,SII.US Equity,Smith Int'l Inc,2006-09-29,2010-08-25,101010,Energy Equipment & Services
548,SITC.US Equity,SITE Centers Corp,2007-03-22,2009-03-26,601010,Equity Real Estate Investment Trusts (REITs)
549,SJM.US Equity,J. M. Smucker Co,2008-11-05,null,302020,Food Products
550,SLB.US Equity,Schlumberger Limited,1970-01-01,null,101010,Energy Equipment & Services
551,SLG.US Equity,SL Green Realty,2015-03-20,null,601010,Equity Real Estate Investment Trusts (REITs)
552,SLM.US Equity,SLM Corp.,1998-06-30,2014-04-30,402020,Consumer Finance
553,SLR.US Equity,Solectron Corp.,1998-12-30,2007-09-30,452030,"Electronic Equipment, Instruments & Components"
554,SNA.US Equity,Snap-On Inc.,1982-09-16,null,201060,Machinery
555,SNDK.US Equity,SanDisk Corp,2006-04-19,2016-05-11,452020,Computers & Peripherals
556,SNI.US Equity,Scripps Networks Interactive Inc,2008-06-30,2018-03-05,254010,Media
557,SNV.US Equity,Synovus Financial Corp.,1997-11-26,2007-12-30,401010,Commercial Banks
558,SO.US Equity,The Southern Company,1970-01-01,null,551010,Electric Utilities
559,SOV.US Equity,Sovereign Bancorp Inc,2004-06-30,2009-01-28,401010,Commercial Banks
560,SPG.US Equity,Simon Property Group,2002-06-25,null,601010,Equity Real Estate Investment Trusts (REITs)
561,SPGI.US Equity,S&P Global Inc,1970-01-01,null,402030,Capital Markets
562,SPLS.US Equity,Staples Inc.,1998-10-06,2017-09-12,255040,Specialty Retail
563,SRCL.US Equity,Stericycle Inc.,2008-11-18,2018-11-29,202010,Commercial Services & Supplies
564,SRE.US Equity,Sempra Energy,1998-06-29,null,551030,Multi-Utilities
565,SSP.US Equity,E. W. Scripps Co,2005-12-19,2008-06-29,254010,Media
566,STI.US Equity,SunTrust Banks Inc,1988-05-05,2019-12-05,401010,Commercial Banks
567,STJ.US Equity,St. Jude Medical Inc,1989-11-30,2017-01-03,351010,Health Care Equipment & Supplies
568,STR.US Equity,Questar Corp.,2006-11-30,2010-06-29,551020,Gas Utilities
569,STT.US Equity,State Street Corp.,1997-08-15,null,402030,Capital Markets
570,STX.US Equity,Seagate Technology plc,2012-06-29,null,452020,Computers & Peripherals
571,STZ.US Equity,Constellation Brands Inc,2005-07-01,null,302010,Beverages
572,SVU.US Equity,Supervalu Inc.,1985-01-31,2012-04-29,301010,Food & Staples Retailing
573,SWK.US Equity,Stanley Black & Decker Inc,1982-09-16,null,201060,Machinery
574,SWKS.US Equity,Skyworks Solutions Inc.,2015-03-11,null,453010,Semiconductors & Semiconductor Equipment
575,SWN.US Equity,Southwestern Energy Co,2008-06-06,2017-04-02,101020,"Oil, Gas & Consumable Fuels"
576,SWY.US Equity,Safeway Inc.,1998-11-12,2015-01-25,301010,Food & Staples Retailing
577,SYF.US Equity,Synchrony Financial,2015-11-17,null,402020,Consumer Finance
578,SYK.US Equity,Stryker Corp.,2000-12-11,null,351010,Health Care Equipment & Supplies
579,SYY.US Equity,Sysco Corp.,1986-12-18,null,301010,Food & Staples Retailing
580,T.US Equity,AT&T Inc.,1983-12-01,null,501010,Diversified Telecommunication Services
581,TAP.US Equity,Molson Coors Brewing Co.,1976-07-01,null,302010,Beverages
582,TDC.US Equity,Teradata Corp.,2007-09-28,2017-06-17,451020,IT Services
583,TDG.US Equity,TransDigm Group,2016-06-02,null,201010,Aerospace & Defense
584,TE.US Equity,TECO Energy Inc,2001-10-09,2016-06-29,551030,Multi-Utilities
585,TEG.US Equity,Integrys Energy Group,2007-02-21,2015-06-29,551030,Multi-Utilities
586,TEK.US Equity,Tektronix Inc.,1970-01-01,2007-11-14,452030,"Electronic Equipment, Instruments & Components"
587,TEL.US Equity,TE Connectivity Ltd,2007-06-29,2009-06-24,452030,"Electronic Equipment, Instruments & Components"
588,TEL.US Equity,TE Connectivity Ltd,2011-10-14,null,452030,"Electronic Equipment, Instruments & Components"
589,TER.US Equity,Teradyne Inc,1999-11-12,2013-12-19,453010,Semiconductors & Semiconductor Equipment
590,TEX.US Equity,Terex Corp.,2006-12-19,2008-11-04,201060,Machinery
591,TFC.US Equity,Truist Financial Corp,1997-12-03,null,401010,Commercial Banks
592,TGNA.US Equity,TEGNA Inc,1975-12-11,2017-05-31,254010,Media
593,TGT.US Equity,Target Corp.,1976-12-09,null,255030,Multiline Retail
594,THC.US Equity,Tenet Healthcare Corp.,1979-02-08,2016-04-14,351020,Health Care Providers & Services
595,TIF.US Equity,Tiffany & Co.,2000-06-20,null,252030,"Textiles, Apparel & Luxury Goods"
596,TIN.US Equity,Temple-Inland Inc.,1986-12-18,2007-12-27,151030,Containers & Packaging
597,TJX.US Equity,TJX Companies Inc.,1985-09-26,null,255040,Specialty Retail
598,TLAB.US Equity,Tellabs Inc.,1995-06-30,2011-12-19,452010,Communications Equipment
599,TMO.US Equity,Thermo Fisher Scientific Inc,1996-12-31,null,351010,Health Care Equipment & Supplies
600,TMUS.US Equity,T-Mobile US Inc,2009-06-29,2013-04-29,501020,Wireless Telecommunication Services
601,TPR.US Equity,Tapestry Inc.,2004-08-31,null,252030,"Textiles, Apparel & Luxury Goods"
602,TRB.US Equity,Tribune Co,1970-01-01,2007-12-20,254010,Media
603,TRIP.US Equity,TripAdvisor Inc,2011-12-20,2019-12-19,502030,Interactive Media & Services
604,TROW.US Equity,T. Rowe Price Group Inc,1999-10-12,null,402030,Capital Markets
605,TRV.US Equity,Travelers Companies Inc,1976-07-01,null,403010,Insurance
606,TSCO.US Equity,Tractor Supply Co.,2014-01-23,null,255040,Specialty Retail
607,TSN.US Equity,Tyson Foods Inc,2005-08-10,null,302020,Food Products
608,TT.US Equity,Trane Inc.,2002-05-10,2008-06-05,201060,Machinery
609,TT.US Equity,Trane Technologies plc,2010-11-16,null,201060,Machinery
610,TT.US Equity,Trane Technologies plc,1970-01-01,2009-06-29,201060,Machinery
611,TWC.US Equity,Time Warner Cable Inc.,2009-03-27,2016-05-16,254010,Media
612,TWX.US Equity,Time Warner Inc.,1998-12-31,2018-06-15,254010,Media
