date,CDXTIL15,CDXTHL15,AMCIsUSD Index,SPX Index,SPTR Index,CCMP Index,INDU Index,SX5E Index,NKY Index,VIX Index,USGG2YR Index,USGG10YR Index,GC1 Comdty,CO1 Comdty,CU1 Comdty,DXY Curncy
2007-02-28,,,0.7202236,1406.82,2175.784,2416.15,12268.63,4087.12,17604.12,15.42,4.6423,4.5657,672.5,61.89,57600.0,83.57
2007-03-01,,,0.71477044,1403.17,2170.171,2404.21,12234.34,4031.3,17453.51,15.82,4.6089,4.5499,665.1,62.11,57620.0,83.77
2007-03-02,,,0.54419076,1387.17,2145.428,2368.0,12114.1,4011.63,17217.93,18.61,4.5252,4.497,644.4,62.08,57270.0,83.74
2007-03-05,,,0.44879937,1374.12,2125.343,2340.68,12050.41,3980.06,16642.25,19.63,4.5165,4.495,639.2,60.54,55670.0,84.17
2007-03-06,,,0.5905737,1395.41,2158.359,2385.14,12207.59,4010.39,16844.5,15.96,4.5743,4.5282,646.2,61.39,55960.0,84.04
2007-03-07,,,0.6838233,1391.97,2153.646,2374.64,12192.45,4021.97,16764.62,15.24,4.5241,4.4871,652.9,62.5,56440.0,83.78
2007-03-08,,,0.7704452,1401.89,2169.139,2387.73,12260.7,4082.58,17090.31,14.29,4.5571,4.5125,655.5,62.33,57720.0,84.13
2007-03-09,,,0.81523925,1402.85,2170.618,2387.55,12276.32,4091.67,17164.04,14.09,4.6651,4.5871,652.0,61.13,57550.0,84.25
2007-03-12,,,0.82778233,1406.6,2176.501,2402.29,12318.62,4066.78,17292.39,13.99,4.6313,4.5516,650.3,60.74,57510.0,83.88
2007-03-13,,,0.60792696,1377.95,2132.76,2350.57,12075.96,4017.74,17178.84,18.13,4.5051,4.4907,649.4,60.9,58570.0,83.71
2007-03-14,,,0.57827365,1387.17,2147.18,2371.74,12133.4,3906.15,16676.89,17.27,4.5551,4.5338,642.5,61.06,57900.0,83.64
2007-03-15,,,0.62272024,1392.28,2155.183,2378.7,12159.68,3985.57,16860.39,16.43,4.58,4.5358,647.1,60.98,58680.0,83.65
2007-03-16,,,0.6121049,1386.95,2146.932,2372.66,12110.41,3984.54,16744.15,16.79,4.5876,4.5435,653.9,60.3,60740.0,83.19
2007-03-19,,,0.73105395,1402.06,2170.326,2394.41,12226.17,4055.49,17009.55,14.59,4.6212,4.5632,654.3,60.52,60660.0,83.35
2007-03-20,100.0,,0.82932717,1410.94,2184.097,2408.21,12288.1,4079.52,17163.2,13.27,4.604,4.5494,659.0,60.2,61270.0,83.07
2007-03-21,100.0,,0.91418517,1435.04,2221.459,2455.92,12447.52,4078.29,,12.19,4.5274,4.5356,660.0,60.77,60600.0,82.77
2007-03-22,100.0443,,0.9052149,1434.54,2220.676,2451.74,12461.14,4170.08,17419.2,12.93,4.578,4.5829,664.2,62.51,61000.0,83.09
2007-03-23,100.05511,,0.9066015,1436.11,2223.116,2448.93,12481.01,4191.58,17480.61,12.95,4.6028,4.6105,657.3,63.18,61730.0,83.28
2007-03-26,100.056404,,0.89320916,1437.5,2225.258,2455.63,12469.07,4142.11,17521.96,13.16,4.5769,4.6006,663.9,64.41,62210.0,83.08
2007-03-27,100.050606,100.0,0.8670848,1428.61,2211.517,2437.43,12397.29,4153.61,17365.05,13.48,4.5595,4.5966,662.5,64.6,63100.0,83.01
2007-03-28,99.99227,100.0,0.7680093,1417.23,2194.383,2417.1,12300.36,4128.2,17254.73,14.98,4.5677,4.6204,666.8,65.78,61910.0,83.03
2007-03-29,100.01507,99.9256,0.7276999,1422.53,2202.683,2417.88,12348.75,4180.07,17263.94,15.14,4.5827,4.6423,661.5,67.88,61810.0,83.09
2007-03-30,99.99157,100.00364,0.74562246,1420.86,2200.12,2421.64,12354.35,4181.03,17287.65,14.64,4.5744,4.6443,663.0,68.1,62800.0,82.93
2007-04-02,100.00457,99.813736,0.7379822,1424.55,2205.851,2422.26,12382.3,4189.55,17028.41,14.53,4.5828,4.6403,671.5,68.74,63370.0,82.87
2007-04-03,100.05307,100.00548,0.7980672,1437.77,2226.758,2450.33,12510.3,4246.3,17244.05,13.46,4.6161,4.6642,669.7,67.81,64030.0,83.15
2007-04-04,100.06417,99.80517,0.82925117,1439.37,2229.255,2458.69,12530.05,4261.83,17544.09,13.24,4.5912,4.6482,677.4,68.4,65750.0,82.96
2007-04-05,100.12922,100.1968,0.83749235,1443.76,2236.711,2471.34,12560.2,4271.54,17491.42,13.23,4.6249,4.6782,679.4,68.24,66250.0,82.677
2007-04-06,100.12922,100.1968,0.84601945,,,,,,17484.78,,4.7342,4.7485,,,66980.0,82.992
2007-04-09,100.17718,100.34449,0.8525854,1444.61,2238.033,2469.18,12569.14,,17743.76,13.14,4.7344,4.7425,676.9,66.59,68960.0,83.098
2007-04-10,100.19942,100.435905,0.87833637,1448.39,2243.933,2477.61,12573.85,4301.47,17664.69,12.68,4.6923,4.7184,681.5,67.42,71650.0,82.704
2007-04-11,100.22577,100.4812,0.84213465,1438.87,2229.441,2459.31,12484.62,4293.2,17670.07,13.49,4.7178,4.7304,681.7,67.84,70550.0,82.671
2007-04-12,100.23148,100.53828,0.8764708,1447.8,2243.303,2480.32,12552.96,4280.02,17540.42,12.71,4.7265,4.7345,679.7,68.72,72600.0,82.369
2007-04-13,100.2816,100.84321,0.9113796,1452.85,2251.124,2491.94,12612.13,4317.35,17363.95,12.2,4.7611,4.7608,689.9,68.97,71210.0,82.129
2007-04-16,100.354805,101.29226,0.9321874,1468.47,2275.353,2518.33,12720.46,4379.25,17628.3,11.98,4.7359,4.7346,694.5,67.25,73120.0,82.073
2007-04-17,100.38812,101.42931,0.93832785,1471.48,2280.013,2516.95,12773.04,4384.38,17527.45,12.14,4.6682,4.6803,692.5,65.93,72900.0,81.831
2007-04-18,100.41121,101.55731,0.92746234,1472.5,2281.612,2510.5,12803.84,4358.95,17667.33,12.42,4.6344,4.6502,693.3,66.04,75610.0,81.743
2007-04-19,100.4565,101.5691,0.9201135,1470.73,2278.913,2505.35,12808.63,4339.93,17371.97,12.54,4.6345,4.6642,688.3,65.94,74390.0,81.644
2007-04-20,100.50271,101.898285,0.94833225,1484.35,2300.084,2526.39,12961.98,4416.79,17452.62,12.07,4.6434,4.6703,695.8,66.49,72840.0,81.643
2007-04-23,100.54763,101.95453,0.9005714,1480.93,2294.825,2523.67,12919.4,4400.12,17455.37,13.04,4.6179,4.6402,694.2,68.15,72860.0,81.738
2007-04-24,100.53778,101.733795,0.8886061,1480.41,2294.017,2524.54,12953.94,4367.83,17451.77,13.12,4.5924,4.6202,687.7,67.16,73250.0,81.546
2007-04-25,100.55225,101.81925,0.87733597,1495.42,2317.496,2547.89,13089.89,4404.44,17236.16,13.21,4.6267,4.6502,687.4,68.57,70900.0,81.428
2007-04-26,100.547325,101.777916,0.8963563,1494.25,2315.908,2554.46,13105.5,4414.21,17429.17,12.79,4.6655,4.6964,678.0,67.65,71110.0,81.75
2007-04-27,100.53245,101.675224,0.9173047,1494.07,2315.703,2557.21,13120.94,4383.13,17400.41,12.45,4.6489,4.6924,681.8,68.41,68530.0,81.529
2007-04-30,100.57206,101.65814,0.8258438,1482.37,2297.575,2525.09,13062.91,4392.34,,14.22,4.591,4.6222,683.5,67.65,69700.0,81.447
2007-05-01,100.59187,101.57336,0.83404344,1486.3,2303.676,2531.53,13136.14,4392.41,17274.98,13.51,4.6242,4.6362,677.3,67.0,,81.595
2007-05-02,100.62104,101.37194,0.86140573,1495.92,2318.839,2557.84,13211.88,4415.48,17394.92,13.08,4.6409,4.6422,675.1,66.25,,81.767
2007-05-03,100.64117,101.61584,0.8686783,1502.39,2329.544,2565.46,13241.38,4427.32,,13.09,4.691,4.6723,684.4,66.05,,81.949
2007-05-04,100.65435,101.61838,0.8815044,1505.62,2334.606,2572.15,13264.62,4445.59,,12.91,4.6665,4.6382,689.7,65.31,,81.741
2007-05-07,100.70508,101.75028,0.8709548,1509.48,2340.677,2570.95,13312.97,4441.31,17669.83,13.15,4.6666,4.6262,690.4,64.44,,81.676
2007-05-08,100.71928,101.78314,0.86556464,1507.72,2338.136,2571.75,13309.07,4411.32,17656.84,13.21,4.6668,4.6342,687.4,65.54,72480.0,81.939
2007-05-09,100.74859,101.94773,0.8817966,1512.58,2346.302,2576.34,13362.87,4425.03,17748.12,12.88,4.7258,4.6618,682.5,65.2,73540.0,82.016
2007-05-10,100.76249,101.88707,0.848583,1491.47,2313.938,2533.74,13215.13,4391.87,17736.96,13.6,4.6755,4.6379,667.0,65.79,72320.0,82.292
2007-05-11,100.78637,102.02696,0.87499195,1505.85,2336.484,2562.22,13326.22,4423.07,17553.72,12.95,4.7013,4.6717,672.3,66.83,69880.0,82.116
2007-05-14,100.847145,102.05594,0.8262199,1503.15,2332.433,2546.44,13346.78,4413.72,17677.94,13.96,4.7269,4.6936,670.1,66.83,69470.0,82.066
2007-05-15,100.85642,102.04645,0.8162449,1501.19,2329.607,2525.29,13383.84,4441.03,17512.98,14.01,4.7272,4.7016,674.5,68.11,66870.0,81.755
2007-05-16,100.87549,102.145325,0.84042317,1514.14,2350.403,2547.42,13487.53,4422.62,17529.0,13.5,4.7274,4.7096,661.5,68.01,66640.0,82.163
2007-05-17,100.8884,102.08312,0.847247,1512.75,2348.44,2539.38,13476.73,4428.57,17498.6,13.51,4.7787,4.7517,657.2,70.27,64590.0,82.318
2007-05-18,100.91806,102.16744,0.888735,1522.75,2363.972,2558.45,13556.53,4480.81,17399.58,12.76,4.8138,4.8001,662.0,69.42,61660.0,82.197
2007-05-21,100.97074,102.42112,0.8696508,1525.1,2367.625,2578.79,13542.88,4465.54,17556.87,13.3,4.797,4.782,663.8,70.49,63690.0,82.364
2007-05-22,101.013145,102.617775,0.88074964,1524.12,2366.098,2588.02,13539.95,4469.88,17680.05,13.06,4.8316,4.8245,659.9,69.52,64460.0,82.386
2007-05-23,101.04335,102.61808,0.8781921,1522.28,2363.286,2577.05,13525.65,4499.69,17705.12,13.24,4.832,4.8468,662.6,70.6,62310.0,82.31
2007-05-24,101.0383,102.42865,0.83400613,1507.51,2340.64,2537.92,13441.13,4452.7,17696.97,14.08,4.8324,4.8387,653.3,70.72,63240.0,82.406
2007-05-25,101.06507,102.52462,0.86035913,1515.73,2353.423,2557.19,13507.28,4463.52,17481.21,13.34,4.8513,4.8572,655.3,70.69,61210.0,82.331
2007-05-28,101.06507,102.52462,,,,,,4475.46,17587.59,,4.8517,4.8573,,69.71,63650.0,82.332
2007-05-29,101.111565,102.57609,0.85699457,1518.11,2357.392,2572.06,13521.34,4474.81,17672.56,13.53,4.8955,4.8818,657.2,68.13,64140.0,82.31
2007-05-30,101.123795,102.54429,0.89332205,1530.23,2377.087,2592.59,13633.08,4468.72,17588.26,12.83,4.875,4.8675,652.5,67.84,63760.0,82.433
2007-05-31,101.14948,102.67596,0.8896617,1530.62,2377.749,2604.52,13627.64,4512.65,17875.75,13.05,4.9081,4.8879,661.0,68.04,64540.0,82.301
2007-06-01,101.1775,102.8463,0.905585,1536.34,2386.629,2613.92,13668.11,4556.97,17958.88,12.78,4.9665,4.9516,676.9,69.07,65750.0,82.322
2007-06-04,101.22991,102.912224,0.88095003,1539.18,2391.133,2618.29,13676.32,4537.81,17973.42,13.29,4.9581,4.9271,676.3,70.4,65510.0,82.058
2007-06-05,101.25005,102.88526,0.8587976,1530.95,2378.438,2611.23,13595.46,4513.18,18053.81,13.63,5.0001,4.9908,675.1,70.45,67040.0,81.89
2007-06-06,101.22444,102.72486,0.78594387,1517.38,2357.953,2587.18,13465.67,4437.29,18040.93,14.87,4.9498,4.9641,674.6,71.02,67010.0,81.897
2007-06-07,101.17585,102.468254,0.6434645,1490.72,2316.625,2541.38,13266.73,4381.45,18053.38,17.06,5.0255,5.13,665.2,71.22,65850.0,82.294
2007-06-08,101.21956,102.51662,0.71923584,1507.67,2342.978,2573.54,13424.39,4376.42,17779.09,14.84,4.9836,5.0991,650.3,68.6,64690.0,82.691
2007-06-11,101.26672,102.69305,0.7484658,1509.12,2345.273,2572.15,13424.96,4415.5,17834.48,14.71,5.009,5.1514,659.0,69.56,62980.0,82.712
2007-06-12,101.247185,102.278786,0.63754135,1493.0,2320.215,2549.77,13295.01,4383.02,17760.91,16.67,5.0938,5.2928,653.1,68.79,63800.0,82.891
2007-06-13,101.26682,102.47465,0.7185746,1515.67,2356.021,2582.31,13482.35,4401.68,17732.77,14.73,5.0771,5.1979,652.7,69.94,62530.0,83.035
2007-06-14,101.29133,102.439705,0.800259,1522.97,2367.52,2599.41,13553.72,4485.04,17842.29,13.64,5.0858,5.2212,655.9,70.96,63310.0,83.128
2007-06-15,101.33246,102.706764,0.80868745,1532.91,2382.966,2626.71,13639.48,4551.0,17971.49,13.94,5.0182,5.1627,658.7,71.47,63580.0,82.851
2007-06-18,101.37056,102.73224,0.83666885,1531.05,2380.088,2626.6,13612.98,4530.22,18149.52,13.42,4.9927,5.1335,659.9,72.18,64450.0,82.715
2007-06-19,101.34896,102.41233,0.8683154,1533.7,2384.255,2626.76,13635.42,4527.22,18163.61,12.85,4.9331,5.0814,664.7,71.84,64320.0,82.544
2007-06-20,101.29758,101.93622,0.7647134,1512.84,2351.866,2599.96,13489.42,4545.61,18211.68,14.67,4.9673,5.1316,660.0,70.42,64700.0,82.518
2007-06-21,101.29535,101.69626,0.7591815,1522.19,2366.924,2616.96,13545.84,4488.66,18240.3,14.21,4.9673,5.1863,654.2,70.22,64800.0,82.731
2007-06-22,101.257164,101.33646,0.6613221,1502.56,2336.407,2588.96,13360.26,4479.36,18188.63,15.75,4.9074,5.13,657.0,71.18,64290.0,82.336
2007-06-25,101.28146,100.77708,0.59121287,1497.74,2328.913,2577.08,13352.05,4471.13,18087.48,16.65,4.8645,5.08,654.7,71.36,63680.0,82.325
2007-06-26,101.32249,100.851654,0.45057148,1492.89,2321.461,2574.16,13337.66,4433.04,18066.11,18.89,4.8644,5.078,645.3,70.17,62940.0,82.295
2007-06-27,101.33393,100.670525,0.595619,1506.34,2342.841,2605.35,13427.73,4412.12,17849.28,15.53,4.8915,5.0802,644.8,70.53,60800.0,82.316
2007-06-28,101.34052,100.856964,0.63063127,1505.71,2341.903,2608.37,13422.28,4457.99,17932.27,15.54,4.9414,5.1033,650.4,70.52,61860.0,82.333
2007-06-29,101.28164,100.08097,0.6012261,1503.35,2338.247,2603.23,13408.62,4489.77,18138.36,16.23,4.8582,5.0244,650.9,71.41,63710.0,81.92
2007-07-02,101.32104,100.07977,0.63956904,1519.43,2363.278,2632.3,13535.43,4470.26,18146.3,15.4,4.8415,4.9892,659.2,72.63,63880.0,81.395
2007-07-03,101.317696,100.25961,0.65987206,1524.87,2372.221,2644.95,13577.3,4513.01,18149.9,14.92,4.8746,5.0372,655.4,72.93,65910.0,81.486
2007-07-04,101.317696,100.25961,0.65602016,,,,,4524.24,18168.72,,4.8745,5.0373,,73.05,66280.0,81.433
2007-07-05,101.33452,100.05428,0.63448554,1525.4,2373.068,2656.65,13565.84,4491.87,18221.48,15.48,4.9667,5.1402,650.6,74.75,66440.0,81.538
2007-07-06,101.3336,99.814255,0.66928405,1530.44,2381.59,2666.51,13611.68,4524.45,18140.94,14.72,4.9835,5.1824,654.8,75.62,65950.0,81.465
2007-07-09,101.387314,100.09623,0.65439326,1531.85,2383.804,2670.02,13649.97,4528.76,18261.98,15.16,4.9499,5.1382,662.5,75.78,66490.0,81.433
2007-07-10,101.24263,99.11078,0.51803195,1510.12,2349.983,2639.16,13501.7,4474.15,18252.67,17.57,4.8321,5.0212,664.4,76.4,66760.0,80.86
2007-07-11,101.18401,98.5061,0.5085595,1518.76,2363.717,2651.79,13577.87,4447.52,18049.51,16.64,4.8909,5.086,662.1,75.44,65030.0,80.73
2007-07-12,101.37495,99.52594,0.5685835,1547.7,2408.786,2701.73,13861.73,4517.7,17984.14,15.54,4.933,5.1239,668.3,76.4,64940.0,80.635
2007-07-13,101.46547,99.69165,0.6207157,1552.5,2416.282,2707.0,13907.25,4542.57,18238.95,15.15,4.9161,5.0928,667.3,77.57,64240.0,80.576
2007-07-16,101.47633,99.75266,0.60610753,1549.52,2411.653,2697.33,13950.98,4557.57,,15.59,4.8652,5.0385,666.3,77.33,64910.0,80.522
2007-07-17,101.36471,99.0515,0.6078152,1549.37,2411.411,2712.29,13971.55,4538.31,18217.27,15.63,4.8736,5.0491,665.9,75.53,64130.0,80.54
2007-07-18,101.25523,98.45719,0.5658955,1546.17,2406.693,2699.49,13918.22,4472.22,18015.58,16.0,4.848,5.0283,673.7,76.76,64340.0,80.424
2007-07-19,101.273155,98.34968,0.59717596,1553.08,2417.5,2720.04,14000.41,4522.64,18116.57,15.23,4.8394,5.0159,678.1,77.67,65510.0,80.419
2007-07-20,101.16034,97.35546,0.48018324,1534.1,2387.962,2687.6,13851.08,4445.23,18157.93,16.95,4.7623,4.9497,684.7,77.64,67870.0,80.288
2007-07-23,101.17116,96.584114,0.4668133,1541.57,2399.638,2690.58,13943.42,4482.75,17963.64,16.81,4.7792,4.9477,681.5,76.86,69590.0,80.354
2007-07-24,101.13423,96.43315,0.31721988,1511.04,2352.117,2639.86,13716.95,4412.06,18002.03,18.55,4.7362,4.9085,684.8,75.08,68430.0,80.077
2007-07-25,101.07436,96.21001,0.2967361,1518.09,2363.119,2648.17,13785.07,4360.9,17858.42,18.1,4.7274,4.8983,673.8,76.32,67240.0,80.652
2007-07-26,100.53058,94.795715,0.13226983,1482.66,2307.977,2599.34,13473.57,4252.92,17702.09,20.74,4.5589,4.7854,662.8,75.18,67340.0,80.453
2007-07-27,100.239044,94.3516,-0.276137,1458.95,2271.411,2562.24,13265.47,4244.58,17283.81,24.17,4.4929,4.757,660.1,76.26,67740.0,80.946
2007-07-30,100.233025,94.9964,-0.15083945,1473.91,2294.748,2583.28,13358.31,4239.18,17289.3,20.87,4.5837,4.802,664.1,75.74,67850.0,80.849
2007-07-31,100.325745,95.36242,-0.29299536,1455.27,2265.75,2545.57,13211.99,4315.69,17248.89,23.52,4.5174,4.7388,666.9,77.05,68930.0,80.77
2007-08-01,100.24087,95.09197,-0.38865864,1465.81,2282.298,2553.16,13362.37,4237.05,16870.98,23.67,4.6,4.7919,669.6,75.35,68550.0,80.872
2007-08-02,100.46802,96.116875,-0.24313095,1472.2,2292.792,2575.98,13463.33,4288.66,16984.11,21.22,4.575,4.7654,670.3,75.76,67870.0,80.713
2007-08-03,100.175354,95.99346,-0.39754862,1433.06,2231.979,2511.25,13181.91,4229.19,16979.86,25.16,4.4167,4.6842,678.1,74.75,67860.0,80.177
2007-08-06,100.33222,96.75881,-0.32153147,1467.67,2285.933,2547.33,13468.78,4202.78,16914.46,22.94,4.5078,4.7371,677.0,71.17,65690.0,80.255
2007-08-07,100.61827,97.65441,-0.2468319,1476.71,2300.095,2561.6,13504.3,4276.8,16921.77,21.56,4.5576,4.7677,676.0,71.8,66450.0,80.479
2007-08-08,101.079,98.672264,-0.17391178,1497.49,2333.239,2612.98,13657.86,4364.22,17029.28,21.45,4.6578,4.8767,679.9,70.99,66330.0,80.343
2007-08-09,100.81509,98.09415,-0.34316713,1453.09,2264.503,2556.49,13270.68,4275.18,17170.6,26.48,4.4404,4.7678,666.5,70.21,65900.0,80.744
2007-08-10,100.8298,97.96947,-0.54993296,1453.64,2265.358,2544.89,13239.54,4161.29,16764.09,28.3,4.4562,4.8076,675.3,70.39,64380.0,80.679
2007-08-13,100.59477,98.01581,-0.49614295,1452.92,2264.575,2542.24,13236.53,4255.79,16800.05,26.57,4.414,4.7599,674.6,70.23,65400.0,81.048
2007-08-14,100.493675,97.745476,-0.6281525,1426.54,2223.705,2499.12,13028.92,4195.6,16844.61,27.68,4.3634,4.7243,673.4,70.51,65150.0,81.489
2007-08-15,100.38776,97.33896,-0.8260322,1406.7,2193.395,2458.83,12861.47,4183.06,16475.61,30.67,4.2875,4.7243,673.4,71.64,64170.0,81.822
2007-08-16,100.339264,97.126366,-0.90104926,1411.27,2200.612,2451.07,12845.78,4062.33,16148.49,30.83,4.2116,4.6572,652.2,69.42,64170.0,81.729
2007-08-17,100.72878,98.58025,-0.8511185,1445.94,2254.684,2505.03,13079.08,4157.2,15273.68,29.99,4.1846,4.6847,660.9,70.44,61790.0,81.426
2007-08-20,100.79718,98.83242,-0.64162886,1445.55,2254.073,2508.59,13121.35,4173.29,15732.48,26.33,4.0831,4.6257,660.6,69.85,62860.0,81.4
2007-08-21,100.84012,98.79308,-0.48619947,1447.12,2256.525,2521.3,13090.86,4175.07,15901.34,25.25,4.0236,4.5904,660.5,68.69,63110.0,81.492
2007-08-22,101.14032,99.37735,-0.30318627,1464.07,2283.085,2552.8,13236.13,4226.52,15900.64,22.89,4.1826,4.6452,662.9,68.7,62860.0,81.249
2007-08-23,101.27231,99.65769,-0.17439905,1462.5,2280.678,2541.7,13235.88,4225.89,16316.32,22.62,4.2496,4.6452,662.5,69.86,64720.0,81.145
2007-08-24,101.371956,99.756454,-0.02607727,1479.37,2307.223,2576.69,13378.87,4238.63,16248.97,20.72,4.2904,4.6156,671.5,70.62,64740.0,80.667
2007-08-27,101.33232,99.747574,-0.10588055,1466.79,2287.62,2561.25,13322.13,4240.95,16301.39,22.72,4.2049,4.5627,670.2,70.95,65810.0,80.739
